id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
social-job-001,Social Media Opportunity,job,Enterprise Architect Lead (NAWAH),ENEC Operations,ENEC Operations,Employer vacancy,Employer vacancy,Employer vacancy,GCC,United Arab Emirates,"Abu Dhabi, UAE",Available,,,2026-07-27,Posted 7 July 2026,LinkedIn,A,Official or direct employer source,The indexed LinkedIn vacancy states Active Recruitment and includes a requisition ID.,99,High,Priority 1,https://ae.linkedin.com/jobs/view/enterprise-architect-lead-nawah-at-enec-operations-4437777028,"Direct match for enterprise-architecture strategy, target roadmaps, architecture standards, cross-functional leadership and executive stakeholder engagement. Verification: The indexed LinkedIn vacancy states Active Recruitment and includes a requisition ID."
social-job-002,Social Media Opportunity,job,"Enterprise Architect, Planning",Coca-Cola HBC,Coca-Cola HBC,Employer vacancy,Employer vacancy,Employer vacancy,Egypt,Egypt,"Cairo, Egypt",Available,,,2026-07-27,Listed about 1 week ago,LinkedIn,A,Official or direct employer source,The public LinkedIn result provides an Apply action and detailed responsibilities.,99,High,Priority 1,https://www.linkedin.com/jobs/view/4436716196/,"Exceptional fit across enterprise planning, procurement, supply chain, finance, integration, data governance, target architectures and transformation roadmaps. Verification: The public LinkedIn result provides an Apply action and detailed responsibilities."
job-r4a-001,Remote4Africa Vacancy,job,Head of Digital Transformation & AI,IT / Telecommunication Services Company,IT / Telecommunication Services Company,Digital Transformation Leadership,Digital Transformation Leadership,Digital Transformation Leadership,Remote / Global,Global,Worldwide,Possibly Available,,,2026-07-27,2 June 2026,Remote4Africa,B,Verified remote-job platform; employer identity may be hidden,Public Remote4Africa listing / search result,99,High,Priority 1,https://remote4africa.com/jobs/head-of-digital-transformation-ai-remote,"Closest match to your CTO and digital-transformation leadership background, including enterprise platforms, AI-enabled transformation, CRM and program governance. Eligibility: Global listing. Confirm that Egypt is accepted and review the full requirements after signing in."
social-job-004,Social Media Opportunity,job,Enterprise Architect,Credit Guarantee Company S.A.E.,Credit Guarantee Company S.A.E.,Social discovery / official application,Social discovery / official application,Social discovery / official application,Egypt,Egypt,Egypt,Available,,,2026-07-27,Official posting dated 6 July 2026,LinkedIn → Official Careers,A,Official or direct employer source,The application destination is the employer’s official career site rather than a social-media form.,98,High,Priority 1,https://career.cgcegypt.com/job/Enterprise-Architect/1354619455/,"Strong fit for architecture vision, target blueprints, transition architectures, application maps, design authority and alignment between business and ICT strategy. Verification: The application destination is the employer’s official career site rather than a social-media form."
social-job-003,Social Media Opportunity,job,"Enterprise Architect, Operational Productivity",Coca-Cola HBC,Coca-Cola HBC,Employer vacancy,Employer vacancy,Employer vacancy,Egypt,Egypt,"Cairo, Egypt",Available,,,2026-07-27,Listed about 3 weeks ago,LinkedIn,A,Official or direct employer source,The indexed public LinkedIn listing includes an Apply action.,98,High,Priority 1,https://eg.linkedin.com/jobs/view/enterprise-architect-at-coca-cola-hbc-4388331068,"Excellent match for enterprise architecture across supply chain and finance, architecture governance, simplification, reuse and delivery assurance. Verification: The indexed public LinkedIn listing includes an Apply action."
job-01112,Official Vacancy,job,Information Systems - Open Source Technical Architect,Canonical,Canonical,Enterprise Architecture & Cloud Infrastructure,Enterprise Architecture & Cloud Infrastructure,Technology & Cloud,EMEA · Remote,EMEA,Home based - EMEA,Available,,,2026-07-24,Current official Canonical listing,Official employer,A,Official employer / primary source,Official,98,High,,https://canonical.com/careers/4551832,"High-alignment role covering internal private cloud architecture, infrastructure as code, DevOps/SRE leadership, automation, reliability, resilience, security, developer self-service and GitOps-oriented operating practices."
social-job-005,Social Media Opportunity,job,IT Director,Confidential Industrial / Real Estate Entity,Confidential Industrial / Real Estate Entity,Recruiter social post,Recruiter social post,Recruiter social post,Egypt,Egypt,Egypt,Possibly Available,,,2026-07-27,Posted about 1 month ago,LinkedIn Post,B,Public social post requiring recheck,The post requests CV submission through direct message; employer identity is not public.,98,High,Priority 1,https://www.linkedin.com/posts/heba-gawish-a67194147_hiring-itdirector-informationtechnology-activity-7458438482512965633-x7aO,"Excellent match for IT strategy, enterprise systems, ERP/CRM, cloud, cybersecurity, budgets, vendor management, digital transformation and team leadership. Verification: The post requests CV submission through direct message; employer identity is not public."
job-r4a-002,Remote4Africa Vacancy,job,Senior Enterprise Architect (Banking or FinTech Experience),IT / Telecommunication Services Company,IT / Telecommunication Services Company,Enterprise Architecture,Enterprise Architecture,Enterprise Architecture,Egypt,Egypt,Egypt · Hybrid,Possibly Available,,,2026-07-27,8 May 2026,Remote4Africa,B,Verified remote-job platform; employer identity may be hidden,Public Remote4Africa listing / search result,98,High,Priority 1,https://remote4africa.com/jobs/senior-enterprise-architect-banking-or-fintech-experience,"Direct enterprise-architecture leadership match involving stakeholder engagement, target solutions and architecture governance. Eligibility: Egypt-based role. Banking or FinTech experience may be a screening requirement."
social-job-007,Social Media Opportunity,job,Enterprise Architect,Datamatics Technologies,Datamatics Technologies,Recruiter vacancy,Recruiter vacancy,Recruiter vacancy,GCC,Saudi Arabia,"Riyadh, Saudi Arabia",Available,,,2026-07-27,Listed about 1 week ago,LinkedIn,B,Public social post requiring recheck,"The LinkedIn page is indexed under Cairo, while the job body states Riyadh; location must be confirmed.",97,High,Priority 1,https://eg.linkedin.com/jobs/view/enterprise-architect-at-datamatics-technologies-4435674918,"Excellent alignment with TOGAF, architecture governance, target-state design, cloud modernization, APIs, microservices, DevSecOps and stakeholder leadership. Verification: The LinkedIn page is indexed under Cairo, while the job body states Riyadh; location must be confirmed."
social-job-006,Social Media Opportunity,job,IT Director,Confidential Employer,Confidential Employer,Recruiter social post,Recruiter social post,Recruiter social post,Egypt,Egypt,"New Cairo, Egypt",Possibly Available,,,2026-07-27,Posted about 2 weeks ago,LinkedIn Post,B,Public social post requiring recheck,The public post describes the role but does not expose a dedicated employer application page.,97,High,Priority 1,https://www.linkedin.com/posts/ghaith-naimat-msc-19868116a_job-opportunity-it-director-location-new-activity-7461808949684789248-q6ii,"Strong match for strategic IT leadership, SAP implementation, infrastructure, data centers, software delivery, budgets and team mentoring. Verification: The public post describes the role but does not expose a dedicated employer application page."
job-r4a-003,Remote4Africa Vacancy,job,Project Manager – Dynamics 365 CRM & Power Platform,IT Services and IT Consulting Company,IT Services and IT Consulting Company,Enterprise Applications & Program Delivery,Enterprise Applications & Program Delivery,Enterprise Applications & Program Delivery,Remote / Global,Global,Anywhere in the World,Live Search,,,2026-07-27,13 June 2026,Remote4Africa,B,Verified remote-job platform; employer identity may be hidden,Public Remote4Africa listing / search result,97,High,Priority 1,https://remote4africa.com/jobs/search?q=project+manager,"Excellent match with your Dynamics 365 integration, enterprise applications, stakeholder management and complex project-delivery experience. Eligibility: Visible in the current Remote4Africa project-manager search. Open the search and select the role."
