ID,Title,Company,City,Country,Sector,Role Family,Fit,Restriction,Freshness,Deadline,Source,URL
1,Digital Transformation Director,Dammam Airports Company,Dammam,Saudi Arabia,Aviation / Government,Digital Transformation,High,Open nationality not stated,Current listing; checked 18 Jul 2026,,Official employer,https://careers.daco.sa/en/saudi-arabia/jobs/digital-transformation-director-1100040713/
2,"Manager, Digital Transformation",Saudia Technic,Saudi Arabia,Saudi Arabia,Aviation Engineering,Digital Transformation,High,Verify eligibility,Current listing; checked 18 Jul 2026,,Official employer,https://careers.saudiatechnic.com/en/saudi-arabia/jobs/manager-digital-transformation-1100046035/
3,Enterprise Architect,FNRCO,Riyadh,Saudi Arabia,Technology Consulting,Enterprise Architecture,High,Verify eligibility,Recent listing,,LinkedIn,https://www.linkedin.com/jobs/view/4339458055/
4,Enterprise Architect - Banking,JODAYN,Riyadh,Saudi Arabia,Technology Consulting / Banking,Enterprise Architecture,High,Verify eligibility,Recent listing,,LinkedIn,https://sa.linkedin.com/jobs/view/enterprise-architect-banking-at-jodayn-%D8%AC%D9%88%D8%AF%D9%8A%D9%86-4412552306
5,Senior Security Assurance Solutions Architect,Amazon Web Services,Riyadh,Saudi Arabia,Cloud / Cybersecurity,Solution Architecture,Medium,KSA nationals,Posted 1 Jul 2026,,Official employer,https://amazon.jobs/en-gb/jobs/10464183/senior-security-assurance-solutions-architect-ksa-nationals-aws-security-assurance-services
6,Head of A2R Greater Gulf and Tax Compliance,Sanofi,Riyadh,Saudi Arabia,Pharmaceuticals,Business Transformation,Medium,Verify eligibility,Posted 16 Jul 2026,27 Jul 2026,Official employer,https://jobs.sanofi.com/en/job/riyadh/head-of-a2r-greater-gulf-and-tax-compliance/2649/41324693824
7,Government Affairs & Regional Public Affairs Head - KSA,Sanofi,Riyadh,Saudi Arabia,Pharmaceuticals / Health Policy,Healthcare Transformation,Medium,Arabic and English mandatory,Posted 14 Jul 2026,22 Jul 2026,Official employer,https://jobs.sanofi.com/en/job/riyadh/government-affairs-and-reginal-public-affairs-head-ksa/2649/40769505536
8,"Pricing Manager, MENA",Stryker,Dubai / Riyadh,Saudi Arabia / UAE,Medical Devices,Data & Business Transformation,Medium,No relocation,Current listing,,Official employer,https://careers.stryker.com/pricing-manager-mena/job/6D1E7A874D062C514E5E8F5BC3406002
9,Key Account Manager - Diagnostics Laboratory,Siemens Healthineers,Riyadh,Saudi Arabia,Diagnostics / Healthcare Technology,Healthcare Technology,Low,Saudi nationals only,Current listing,,Official employer,https://jobs.siemens-healthineers.com/de_DE/searchjobs/JobDetail/511930
10,Healthineers Graduates Program - Marketing & Communications,Siemens Healthineers,Riyadh,Saudi Arabia,Healthcare Technology,Graduate Program,Low,Check program eligibility,Posted 15 Jun 2026,,Official employer,https://jobs.siemens-healthineers.com/en_US/searchjobs/JobDetail/510193
11,Healthineers Early Talents Program - Finance,Siemens Healthineers,Riyadh,Saudi Arabia,Healthcare Technology,Graduate Program,Low,Saudi nationals,Posted 29 Jun 2026,,Official employer,https://jobs.siemens-healthineers.com/cs_CZ/searchjobs/JobDetail/511936
12,Business Manager Digital Health (HealthCare IT),Siemens Healthineers,Riyadh,Saudi Arabia,Digital Health,Healthcare IT,High,Saudi nationals,Posted 16 Jul 2026,,Official employer,https://jobs.siemens.com/nl_NL/externaljobs/JobDetail/513954
13,General Service Support - Graduate,Philips,Riyadh,Saudi Arabia,Healthcare Technology,Technical Operations,Low,Graduate role; verify eligibility,Recent listing; Aug 2026 start,,LinkedIn,https://sa.linkedin.com/jobs/view/general-service-support-graduate-2-at-philips-4431229343
14,Healthcare Relations Consultant,Docspert Health,Western Region,Saudi Arabia,Digital Health / Consulting,Healthcare Transformation,Medium,Strong local healthcare network required,Recent listing,,LinkedIn,https://sa.linkedin.com/jobs/view/healthcare-relations-consultant-at-docspert-health-4431922581
15,Healthcare Nutrition Specialist - Riyadh,Danone,Riyadh,Saudi Arabia,Healthcare Nutrition,Commercial Healthcare,Low,Verify eligibility,Recent listing,,LinkedIn,https://sa.linkedin.com/jobs/view/healthcare-nutrition-specialist-riyadh-at-danone-4439752427
16,Digital Solutions Enterprise Architect,Omnix International,Remote from Egypt + GCC travel,GCC / Egypt,Technology Consulting,Enterprise Architecture,High,Regular GCC travel,Recent listing,,LinkedIn,https://eg.linkedin.com/jobs/view/digital-solutions-enterprise-architect-at-omnix-international-4427184102
17,Manager Enterprise Architect,Emirates Group,Dubai,United Arab Emirates,Aviation,Enterprise Architecture,High,Verify page remains open,Checked 18 Jul 2026,18 Jul 2026,Official employer,https://www.emiratesgroupcareers.com/search-and-apply/24681
18,Principal Enterprise Architect,Landmark Group,Dubai,United Arab Emirates,Retail / Digital,Enterprise Architecture,High,Verify eligibility,Recent listing,,LinkedIn,https://ae.linkedin.com/jobs/view/principal-enterprise-architect-at-landmark-group-4425794046
