ID,Title,Company,City,Country,Sector,Role Family,Fit,Requirements / Notes,Freshness,Source,URL
1,"Enterprise Architect, Planning",Coca-Cola HBC,Cairo,Egypt,FMCG / Enterprise Technology,Enterprise Architecture,High,Verify listing remains open,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4436716196/
2,"Enterprise Architect, Commercial",Coca-Cola HBC,Cairo,Egypt,FMCG / Enterprise Technology,Enterprise Architecture,High,Verify listing remains open,Posted July 2026,LinkedIn,https://eg.linkedin.com/jobs/view/enterprise-architect-commercial-at-coca-cola-hbc-4436710502
3,Platform Architect - Manufacturing & Maintenance,Coca-Cola HBC,Cairo,Egypt,Manufacturing / SAP,Enterprise Architecture,High,SAP S/4HANA and manufacturing experience,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4359796643/
4,Platform Architect - Employee Experience,Coca-Cola HBC,New Cairo,Egypt,Digital Workplace,Enterprise Architecture,High,"SharePoint, Viva and Workday experience",Recent listing,LinkedIn,https://www.linkedin.com/jobs/view/4413403409/
5,Enterprise Security Architect,Banque Misr,Cairo,Egypt,Banking / Cybersecurity,Security Architecture,High,Senior security architecture profile,Listing page available; checked 18 Jul 2026,LinkedIn,https://www.linkedin.com/jobs/view/4356370310/
6,Digital Technology & IT Manager,The Translation Gate,"Maadi, Cairo",Egypt,Professional Services,IT Leadership,High,Strategic technology leadership role,Listing page available; checked 18 Jul 2026,LinkedIn,https://www.linkedin.com/jobs/view/4358822123/
7,Digital Transformation Architect,Orascom Development Egypt,Cairo,Egypt,Real Estate / Hospitality,Digital Transformation,High,Verify detailed eligibility,Listing page available; checked 18 Jul 2026,LinkedIn,https://www.linkedin.com/jobs/view/4378177523/
8,Digital Transformation Manager - C# / .NET Consultant,Goahead Consulting,Cairo,Egypt,Technology Consulting,Digital Transformation,High,On-site; .NET consulting background,Listing page available,LinkedIn,https://eg.linkedin.com/jobs/view/digital-transformation-manager-c%23-dot-net-consultant-at-goahead-consulting-4108792756
9,"Manager, Digitalization",Juhayna Food Industries,Sheikh Zayed / Giza,Egypt,Manufacturing / FMCG,Digital Transformation,High,Industry 4.0 and manufacturing digitalization,Listing page available,LinkedIn,https://eg.linkedin.com/jobs/view/manager-digitalization-at-juhayna-food-industries-4371440973
10,Digital Transformation Governance Senior Executive,GB Corp,Giza,Egypt,Automotive / Mobility,IT Governance,High,Governance and transformation experience,Recent listing,LinkedIn,https://www.linkedin.com/jobs/view/4418678029/
11,AI & Agile Transformation Head,Crédit Agricole Egypt,Cairo,Egypt,Banking / AI,Digital Transformation,High,Executive transformation profile,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4439740212/
12,Operational Excellence & Digitalization Director,The Coca-Cola Company,Cairo,Egypt,FMCG / Operations,Digital Transformation,High,Director-level operational excellence experience,Recent listing,LinkedIn,https://www.linkedin.com/jobs/view/4402634138/
