id,name,country,region,level,portal_type,url,eligibility,notes
1,Egypt Government Jobs Portal,Egypt,Egypt,National,Official government vacancies,https://jobs.caoa.gov.eg/,Egyptian citizens; conditions vary by notice,Central Agency for Organization and Administration
2,Jadarat National Employment Platform,Saudi Arabia,GCC,National,Unified employment platform,https://jadarat.sa/,Primarily Saudi citizens; private-sector listings may vary,Government-backed national employment platform
3,Saudi Ministry of Human Resources Careers,Saudi Arabia,GCC,National Ministry,Government entity careers,https://www.hrsd.gov.sa/en/ministry/about-ministry/work-with-us,Verify nationality and role conditions,Official ministry careers page
4,Federal Government Jobs Portal,United Arab Emirates,GCC,Federal,Federal government vacancies,https://www.fahr.gov.ae/Portal/en/careers.aspx,Many roles prioritize UAE nationals; verify each role,Federal Authority for Government Human Resources
5,Abu Dhabi Government Careers,United Arab Emirates,GCC,Emirate,Government jobs portal,https://www.tamm.abudhabi/en/life-events/individual/Work-and-employment/Jobs,Eligibility varies; some roles open to expatriates,TAMM employment services
6,Dubai Careers,United Arab Emirates,GCC,Emirate,Government jobs portal,https://dubaicareers.ae/,Eligibility varies by vacancy,Dubai Government careers portal
7,Sharjah Government HR,United Arab Emirates,GCC,Emirate,Government jobs portal,https://dhr.gov.ae/,Often UAE-national focused; verify each vacancy,Sharjah Directorate of Human Resources
8,Ajman Government Kawader,United Arab Emirates,GCC,Emirate,Government jobs portal,https://www.ajmanhr.gov.ae/,Often UAE-national focused; verify each vacancy,Ajman HR portal
9,Ras Al Khaimah Government HR,United Arab Emirates,GCC,Emirate,Government jobs portal,https://hr.rak.ae/,Verify eligibility,RAK Human Resources Department
10,Fujairah Government Careers,United Arab Emirates,GCC,Emirate,Government careers,https://fujairah.ae/en/Pages/careers.aspx,Verify eligibility,Official Fujairah government site
11,Qatar Kawader / Government Employment,Qatar,GCC,National,Government jobs platform,https://www.kawader.gov.qa/,Primarily Qatari citizens; verify each announcement,National employment platform
12,Qatar Government Hukoomi Employment Services,Qatar,GCC,National,Government service gateway,https://hukoomi.gov.qa/en/topic/employment-and-workplace,Eligibility varies,Official Qatar e-government portal
13,Oman Government Vacancies Service,Oman,GCC,National,Government jobs service,https://gov.om/en/w/apply-for-vacant-government-positions-,Primarily Omani citizens; verify each vacancy,Ministry of Labour service
14,Kuwait Civil Service Commission,Kuwait,GCC,National,Civil-service recruitment,https://www.csc.gov.kw/,Primarily Kuwaiti citizens,Civil Service Commission
15,Kuwait Government Online Employment,Kuwait,GCC,National,Government employment services,https://www.e.gov.kw/sites/kgoEnglish/Pages/CitizensResidents/InfoSubPages/Employment.aspx,Citizens and residents depending on service,Official e-government portal
16,Bahrain Civil Service Employment Application,Bahrain,GCC,National,Civil-service jobs,https://services.bahrain.bh/wps/portal/EmploymentApplication_en,Primarily Bahraini citizens; verify each vacancy,National portal service
17,Jordan Public Sector Recruitment System,Jordan,Levant,National,Public-sector jobs portal,https://applyjobs.spac.gov.jo/Default.aspx,Usually Jordanian citizens,Service and Public Administration Commission
18,Lebanon Civil Service Board,Lebanon,Levant,National,Civil-service competitions,https://www.csb.gov.lb/,Usually Lebanese citizens,Official Civil Service Board
19,Iraq Federal Public Service Council,Iraq,Arab Region,National,Federal public-sector recruitment,https://fpsc.gov.iq/,Usually Iraqi citizens,Official federal council
20,Palestine General Personnel Council,Palestine,Levant,National,Public-sector recruitment,https://www.gpc.pna.ps/,Usually Palestinian citizens,Official government personnel council
21,Morocco Public Employment Portal,Morocco,North Africa,National,Public competitions and vacancies,https://www.emploi-public.ma/,Usually Moroccan citizens; verify competition rules,Official public employment portal
22,Algeria Directorate General of Public Service,Algeria,North Africa,National,Civil-service information and competitions,https://www.dgfp.gov.dz/,Usually Algerian citizens,Official public-service authority
23,Algeria Public Service Competitions,Algeria,North Africa,National,Public competitions portal,https://www.concours-fonction-publique.gov.dz/,Usually Algerian citizens,Official competitions gateway
24,Tunisia Public Competitions Portal,Tunisia,North Africa,National,Government competitions,https://www.concours.gov.tn/,Usually Tunisian citizens,Official national competitions portal
25,Mauritania Ministry of Civil Service,Mauritania,North Africa / Sahel,National,Civil-service information,https://www.fonctionpublique.gov.mr/,Usually Mauritanian citizens,Official ministry site
26,Libya Ministry of Labour and Rehabilitation,Libya,North Africa,National,Employment and government notices,https://labour.gov.ly/,Verify current conditions and eligibility,Official ministry site
27,Sudan Ministry of Labour and Administrative Reform,Sudan,North Africa,National,Employment and public-service notices,https://mol.gov.sd/,Verify availability and current conditions,Official ministry site
28,Somalia National Civil Service Commission,Somalia,Horn of Africa,National,Civil-service recruitment,https://ncsc.gov.so/,Usually Somali citizens,Official commission
29,Djibouti Ministry of Labour,Djibouti,Horn of Africa,National,Employment and public-service notices,https://travail.gouv.dj/,Usually Djiboutian citizens,Official ministry
30,Comoros Public Service,Comoros,Indian Ocean,National,Civil-service information,https://fonctionpublique.gouv.km/,Usually Comorian citizens,Official public-service portal
31,South African Government Jobs,South Africa,Southern Africa,National,Government vacancies,https://www.gov.za/jobs,South African citizens / permanent residents depending on role,Public Service Vacancy Circular and department vacancies
32,South Africa Government Jobs This Week,South Africa,Southern Africa,National,Weekly vacancy circular,https://www.gov.za/government-jobs-week,Check each vacancy,Weekly official public-service circular
33,South African Parliament Careers,South Africa,Southern Africa,Parliament,Parliamentary careers,https://www.parliament.gov.za/careers-parliament,Check each vacancy,Official parliament recruitment
