"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","LinkedIn Jobs","LinkedIn","Job Platform","Global","Global","Global","High","Needs Verification","","2026-07-20","Global professional network and job search.","Established job platform","https://www.linkedin.com/jobs/"
"2","Indeed","Indeed","Job Platform","Global","Global","Global","High","Needs Verification","","2026-07-20","Global job aggregator and employer listings.","Established job platform","https://www.indeed.com/"
"3","Glassdoor","Glassdoor","Job Platform","Global","Global","Global","High","Needs Verification","","2026-07-20","Jobs, company information and reviews.","Established job platform","https://www.glassdoor.com/Job/index.htm"
"4","Bayt","Bayt.com","Job Platform","MENA","Middle East","Middle East","High","Needs Verification","","2026-07-20","Middle East jobs.","Established job platform","https://www.bayt.com/"
"5","GulfTalent","GulfTalent","Job Platform","GCC","GCC","GCC","High","Needs Verification","","2026-07-20","Professional Gulf roles.","Established job platform","https://www.gulftalent.com/"
"6","WUZZUF","WUZZUF","Job Platform","Egypt","Egypt","Egypt","High","Needs Verification","","2026-07-20","Egypt jobs.","Established job platform","https://wuzzuf.net/jobs/egypt"
"7","Naukrigulf","Naukrigulf","Job Platform","GCC","GCC","GCC","High","Needs Verification","","2026-07-20","Gulf vacancies.","Established job platform","https://www.naukrigulf.com/"
"8","Devex Jobs","Devex","Development Jobs","Global","Global","Global","High","Needs Verification","","2026-07-20","International development jobs and consulting.","Established specialist platform","https://www.devex.com/jobs"
"9","ReliefWeb Jobs","UN OCHA","Humanitarian Jobs","Global","Global","Global","High","Needs Verification","","2026-07-20","Humanitarian and development opportunities.","Official humanitarian platform","https://reliefweb.int/jobs"
"10","Remote OK","Remote OK","Remote Job Platform","Remote","Global","Global","High","Needs Verification","","2026-07-20","Remote technology jobs.","Established job platform","https://remoteok.com/"
