id,name,country,region,kind,focus,url,coverage,fit,notes
1,Adecco,Global,Global,Staffing & Recruitment,"General staffing, professional recruitment",https://www.adecco.com/,Global,High,
2,ManpowerGroup,Global,Global,Staffing & Recruitment,"Technology, professional and workforce solutions",https://www.manpowergroup.com/,Global,High,
3,Randstad,Global,Global,Staffing & Recruitment,Professional staffing and talent solutions,https://www.randstad.com/,Global,Medium,
4,Hays,Global,Global,Specialist Recruitment,"Technology, finance, engineering and leadership",https://www.hays.com/,Global,High,
5,Michael Page,Global,Global,Specialist Recruitment,Professional and management recruitment,https://www.michaelpage.com/,Global,High,
6,Page Executive,Global,Global,Executive Search,Senior leadership and executive search,https://www.pageexecutive.com/,Global,High,
7,Robert Walters,Global,Global,Specialist Recruitment,Professional and executive recruitment,https://www.robertwalters.com/,Global,High,
8,Robert Half,Global,Global,Specialist Recruitment,"Technology, finance, legal and administration",https://www.roberthalf.com/,Global,High,
9,Korn Ferry,Global,Global,Executive Search & Advisory,Executive search and organizational consulting,https://www.kornferry.com/,Global,High,
10,Spencer Stuart,Global,Global,Executive Search,Board and C-suite search,https://www.spencerstuart.com/,Global,High,
11,Heidrick & Struggles,Global,Global,Executive Search,Executive and leadership advisory,https://www.heidrick.com/,Global,High,
12,Russell Reynolds Associates,Global,Global,Executive Search,Board and executive leadership,https://www.russellreynolds.com/,Global,High,
13,Egon Zehnder,Global,Global,Executive Search,Executive search and leadership advisory,https://www.egonzehnder.com/,Global,High,
14,Boyden,Global,Global,Executive Search,Executive search and interim management,https://www.boyden.com/,Global,High,
15,Odgers Berndtson,Global,Global,Executive Search,Executive recruitment and leadership services,https://www.odgersberndtson.com/,Global,High,
16,Kelly,Global,Global,Staffing & Recruitment,"Science, engineering, technology and professional staffing",https://www.kellyservices.com/,Global,High,
17,Allegis Group,Global,Global,Talent Solutions,"Staffing, consulting and workforce solutions",https://www.allegisgroup.com/,Global,Medium,
18,TEKsystems,Global,Global,Technology Recruitment,"IT staffing, services and transformation talent",https://www.teksystems.com/,Global,High,
19,Aerotek,Global,Global,Staffing & Recruitment,"Engineering, manufacturing and operations staffing",https://www.aerotek.com/,Global,Medium,
20,Aston Carter,Global,Global,Professional Staffing,"Business, finance, operations and corporate talent",https://www.astoncarter.com/,Global,Medium,
21,SThree,Global,Global,Specialist Recruitment,STEM recruitment and consulting,https://www.sthree.com/,Global,High,
22,Computer Futures,Global,Global,Technology Recruitment,"IT, software, cloud and data roles",https://www.computerfutures.com/,Global,High,
23,Progressive Recruitment,Global,Global,Specialist Recruitment,"Engineering, energy and technology",https://www.progressiverecruitment.com/,Global,High,
24,Huxley,Global,Global,Specialist Recruitment,"Banking, technology and data",https://www.huxley.com/,Global,High,
25,Real Staffing,Global,Global,Life Sciences Recruitment,"Pharma, biotech and healthcare",https://www.realstaffing.com/,Global,Medium,
26,Harvey Nash,Global,Global,Technology Recruitment,"Technology leadership, digital and IT staffing",https://www.harveynash.com/,Global,High,
27,Nash Squared,Global,Global,Technology Talent Solutions,Technology recruitment and solutions,https://www.nashsquared.com/,Global,High,
28,Akkodis,Global,Global,Technology Talent Solutions,"Digital engineering, IT and technology consulting",https://www.akkodis.com/,Global,High,
29,Experis,Global,Global,Technology Recruitment,IT professional resourcing and project services,https://www.experis.com/,Global,High,
30,Gi Group Holding,Global,Global,Staffing & Recruitment,"Staffing, search and HR services",https://www.gigroupholding.com/,Global,Medium,
31,RGF Professional Recruitment,Global,Global,Specialist Recruitment,Professional and executive recruitment,https://www.rgf-professional.com/,Global,High,
32,JAC Recruitment,Global,Global,Specialist Recruitment,Professional and international recruitment,https://www.jac-recruitment.com/,Global,High,
33,PERSOLKELLY,Asia Pacific,APAC,Staffing & Recruitment,Professional staffing across APAC,https://www.persolkelly.com/,Global,Medium,
34,Morgan McKinley,Global,Global,Specialist Recruitment,"Technology, finance and professional recruitment",https://www.morganmckinley.com/,Global,High,
35,Hudson,Global,Global,Talent Solutions,Recruitment and talent management,https://www.hudson.com/,Global,High,
36,Antal International,Global,Global,Executive Recruitment,Professional and executive recruitment,https://www.antal.com/,Global,High,
37,NES Fircroft,Global,Global,Technical Recruitment,"Energy, engineering and infrastructure",https://www.nesfircroft.com/,Global,Medium,
38,Airswift,Global,Global,Technical Recruitment,"Energy, process and infrastructure staffing",https://www.airswift.com/,Global,Medium,
39,Brunel,Global,Global,Technical Recruitment,"Engineering, energy and life sciences",https://www.brunel.net/,Global,Medium,
40,Salt,Global,Global,Digital Recruitment,"Digital, technology and creative talent",https://www.welovesalt.com/,Global,High,
41,Talent International,Global,Global,Technology Recruitment,IT and digital recruitment,https://www.talentinternational.com/,Global,High,
42,Cielo Talent,Global,Global,RPO & Talent Acquisition,Recruitment process outsourcing,https://www.cielotalent.com/,Global,High,
43,AMS,Global,Global,RPO & Talent Acquisition,Recruitment process outsourcing and advisory,https://www.weareams.com/,Global,High,
44,WilsonHCG,Global,Global,RPO & Talent Acquisition,Global talent acquisition and RPO,https://www.wilsonhcg.com/,Global,High,
45,Randstad Sourceright,Global,Global,RPO & Talent Acquisition,"RPO, MSP and talent intelligence",https://www.randstadsourceright.com/,Global,Medium,
46,LHH,Global,Global,Talent Solutions,"Recruitment, leadership and career transition",https://www.lhh.com/,Global,High,
47,Resource Solutions,Global,Global,RPO & Talent Acquisition,Embedded recruitment and workforce solutions,https://www.resourcesolutions.com/,Global,High,
48,Pontoon Solutions,Global,Global,Workforce Solutions,"MSP, RPO and contingent workforce",https://www.pontoonsolutions.com/,Global,Medium,
49,PeopleScout,Global,Global,RPO & Talent Acquisition,RPO and employer branding,https://www.peoplescout.com/,Global,Medium,
50,Insight Global,United States,Americas,Staffing & Recruitment,"Technology, engineering and professional staffing",https://insightglobal.com/,Global,High,
51,Bayt.com,Middle East,Arab Region,Job Platform,Professional jobs across MENA,https://www.bayt.com/,Arab Region,High,
52,GulfTalent,Middle East,GCC,Job Platform,Professional and management jobs in GCC,https://www.gulftalent.com/,GCC,High,
53,Naukrigulf,Middle East,GCC,Job Platform,GCC and Middle East jobs,https://www.naukrigulf.com/,GCC,Medium,
54,Foundit Gulf,Middle East,GCC,Job Platform,Gulf professional jobs,https://www.founditgulf.com/,GCC,High,
55,Laimoon,Middle East,Arab Region,Job Platform,Jobs and courses across MENA,https://laimoon.com/,Arab Region,Medium,
56,Tanqeeb,Middle East,Arab Region,Job Aggregator,Arabic regional job search,https://www.tanqeeb.com/,Arab Region,Medium,
57,Akhtaboot,Jordan / MENA,Arab Region,Job Platform,Jobs across Jordan and MENA,https://www.akhtaboot.com/,Arab Region,Medium,
58,Mihnati,Saudi Arabia,GCC,Job Platform,Saudi and Gulf jobs,https://www.mihnati.com/,GCC,Medium,
59,Drjobs,United Arab Emirates,GCC,Job Platform,Jobs across GCC and Middle East,https://drjobs.ae/,GCC,Medium,
60,Mourjan,Middle East,Arab Region,Classified Jobs Platform,Arabic classifieds and job ads,https://www.mourjan.com/,Arab Region,Medium,
61,Sabbar,Saudi Arabia,GCC,Job Platform,Saudi flexible and operational jobs,https://sabbar.com/,GCC,Medium,
62,Dubizzle Jobs,United Arab Emirates,GCC,Classified Jobs Platform,UAE jobs and classifieds,https://dubai.dubizzle.com/jobs/,GCC,Medium,
63,Gulf News Jobs,United Arab Emirates,GCC,Job Platform,UAE and Gulf vacancies,https://gulfnews.com/jobs,GCC,Medium,
64,TASC Outsourcing,United Arab Emirates,GCC,Staffing & Outsourcing,"Technology, professional staffing and outsourcing",https://tascoutsourcing.com/,GCC,High,
65,BAC Middle East,United Arab Emirates,GCC,Recruitment Agency,Professional recruitment in the Gulf,https://www.bacme.com/,GCC,High,
66,Charterhouse Middle East,United Arab Emirates,GCC,Specialist Recruitment,Professional and executive recruitment,https://www.charterhouseme.ae/,GCC,High,
67,Cooper Fitch,United Arab Emirates,GCC,Executive Search,Executive search and recruitment,https://cooperfitch.ae/,GCC,High,
68,Guildhall,United Arab Emirates,GCC,Executive Search,Executive and specialist recruitment,https://guildhall.agency/,GCC,High,
69,NADIA Global,United Arab Emirates,GCC,Recruitment & Training,Professional recruitment and HR services,https://www.nadiaglobal.com/,GCC,High,
70,Marc Ellis,United Arab Emirates,GCC,Technology Recruitment,"Technology, banking and digital recruitment",https://www.marc-ellis.com/,GCC,High,
71,Black Pearl Consult,United Arab Emirates,GCC,Recruitment Agency,Professional recruitment across MENA,https://www.blackpearlconsult.com/,GCC,High,
72,RTC-1 Employment Services,United Arab Emirates,GCC,Recruitment Agency,GCC professional recruitment,https://www.rtc-1.com/,GCC,High,
73,Inspire Selection,United Arab Emirates,GCC,Specialist Recruitment,Professional and management recruitment,https://www.inspireselection.com/,GCC,High,
74,MENA Recruit,United Arab Emirates,GCC,Specialist Recruitment,"Legal, professional and corporate recruitment",https://www.menarecruit.com/,GCC,High,
75,Mackenzie Jones,United Arab Emirates,GCC,Specialist Recruitment,Professional recruitment across Middle East,https://www.mackenziejones.com/,GCC,High,
76,Frazer Jones Middle East,United Arab Emirates,GCC,HR Recruitment,Human resources specialist recruitment,https://www.frazerjones.com/,GCC,Medium,
77,Madison Pearl,United Arab Emirates,GCC,Executive Search,Financial services and executive search,https://madisonpearl.com/,GCC,High,
78,Kingston Stanley,United Arab Emirates,GCC,Specialist Recruitment,"Digital, marketing and technology recruitment",https://www.kingstonstanley.com/,GCC,High,
79,Tiger Recruitment Dubai,United Arab Emirates,GCC,Specialist Recruitment,Business support and private staffing,https://tiger-recruitment.com/ae/,GCC,Medium,
80,Irwin & Dow,United Arab Emirates,GCC,Specialist Recruitment,Business support and professional recruitment,https://www.irwinanddow.com/,GCC,High,
81,Sundus,United Arab Emirates,GCC,Staffing & Outsourcing,"Government, energy and professional staffing",https://www.sundusglobal.com/,GCC,High,
82,Nathan & Nathan,United Arab Emirates,GCC,HR Outsourcing,"Recruitment, payroll and employer-of-record",https://nathanhr.com/,GCC,Medium,
83,Ultimate HR Solutions,United Arab Emirates,GCC,Staffing & Outsourcing,"Staffing, payroll and outsourcing",https://www.uhs.ae/,GCC,Medium,
84,Innovations Group,United Arab Emirates,GCC,Staffing & Outsourcing,Manpower and recruitment services,https://www.innovationsgroup.ae/,GCC,Medium,
85,Transguard Workforce Solutions,United Arab Emirates,GCC,Staffing & Outsourcing,Large-scale staffing and outsourcing,https://transguardgroup.com/workforce-solutions/,GCC,Medium,
86,Reach Employment Services,United Arab Emirates,GCC,Recruitment Agency,Government and private-sector recruitment,https://www.reachgroup.ae/,GCC,High,
87,Dicetek,United Arab Emirates,GCC,Technology Staffing,IT staffing and technology consulting,https://www.dicetek.net/,GCC,High,
88,Halian,Middle East,GCC,Technology Recruitment,Technology recruitment and managed services,https://www.halian.com/,GCC,High,
89,eMagine Solutions,United Arab Emirates,GCC,Technology Recruitment,Technology and digital recruitment,https://www.emagine-solutions.com/,GCC,High,
90,Discovered MENA,United Arab Emirates,GCC,Technology Recruitment,"Digital, product and technology talent",https://discovered.ae/,GCC,High,
91,Caliberly,United Arab Emirates,GCC,Recruitment Agency,Professional recruitment across UAE,https://caliberly.com/,GCC,High,
92,Reeqwest,United Arab Emirates,GCC,Recruitment Agency,Professional recruitment and job listings,https://reeqwest.com/,GCC,High,
93,Sawaeed Employment,United Arab Emirates,GCC,Manpower & Outsourcing,Staffing and workforce services,https://www.sawaeed.ae/,GCC,Medium,
94,JAMS HR Solutions,United Arab Emirates,GCC,HR Outsourcing,Recruitment and HR outsourcing,https://jamshrsolutions.com/,GCC,Medium,
95,Propel Consult,Bahrain,GCC,Recruitment Agency,"Construction, engineering and professional recruitment",https://www.propelconsult.com/,GCC,High,
96,Gulf Connexions,Bahrain,GCC,Executive Recruitment,"Banking, finance and executive recruitment",https://www.gulfconnexions.com/,GCC,High,
97,Clarendon Parker Bahrain,Bahrain,GCC,Recruitment Agency,Professional recruitment,https://clarendonparker.com/,GCC,High,
98,Jerry Varghese,India / GCC,GCC,Overseas Recruitment,"Engineering, healthcare and Gulf recruitment",https://www.jerryvarghese.com/,GCC,Medium,
99,Soundlines Group,India / GCC,GCC,Overseas Recruitment,GCC manpower and professional recruitment,https://soundlinesgroup.com/,GCC,High,
100,Dynamic Staffing Services,India / GCC,GCC,Overseas Recruitment,Engineering and Gulf recruitment,https://www.dss-hr.com/,GCC,Medium,
101,Ambe International,India / GCC,GCC,Overseas Recruitment,GCC and international manpower recruitment,https://www.ambe.com/,GCC,Medium,
