ID,Organization,Category,Headquarters,Region,Africa Presence,Fit Priority,Remote Indicator,Visa Indicator,Career URL,Suggested Roles
1,United Nations Secretariat,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.un.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
2,UNDP,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.undp.org/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
3,UNICEF,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.unicef.org/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
4,UNOPS,UN & Multilateral,"Copenhagen, Denmark",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://jobs.unops.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
5,UNHCR,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.unhcr.org/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
6,World Food Programme,UN & Multilateral,"Rome, Italy",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.wfp.org/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
7,World Health Organization,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.who.int/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
8,International Organization for Migration,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.iom.int/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
9,UNFPA,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.unfpa.org/jobs,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
10,FAO,UN & Multilateral,"Rome, Italy",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.fao.org/employment/en/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
11,UNESCO,UN & Multilateral,"Paris, France",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.unesco.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
12,International Labour Organization,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://jobs.ilo.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
13,UN Women,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.unwomen.org/en/about-us/employment,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
14,UN Environment Programme,UN & Multilateral,"Nairobi, Kenya",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.unep.org/work-with-us,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
15,UN-Habitat,UN & Multilateral,"Nairobi, Kenya",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://unhabitat.org/join-us,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
16,UNIDO,UN & Multilateral,"Vienna, Austria",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.unido.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
17,UNRWA,UN & Multilateral,"Amman, Jordan",Middle East,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.unrwa.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
18,UNODC,UN & Multilateral,"Vienna, Austria",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.unodc.org/unodc/en/about-unodc/employment-opportunities.html,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
19,UNCDF,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.uncdf.org/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
20,International Telecommunication Union,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.itu.int/en/careers/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
21,WIPO,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.wipo.int/jobs/en/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
22,IAEA,UN & Multilateral,"Vienna, Austria",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.iaea.org/about/employment,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
23,International Maritime Organization,UN & Multilateral,"London, UK",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.imo.org/en/About/CareersAtIMO/Pages/Default.aspx,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
24,UN Volunteers,UN & Multilateral,"Bonn, Germany",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.unv.org/become-volunteer,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
25,UN Tourism,UN & Multilateral,"Madrid, Spain",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.unwto.org/employment,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
26,UNCTAD,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://unctad.org/about/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
27,UN Economic Commission for Africa,UN & Multilateral,"Addis Ababa, Ethiopia",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.uneca.org/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
28,African Union,UN & Multilateral,"Addis Ababa, Ethiopia",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.au.int/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
29,AUDA-NEPAD,UN & Multilateral,"Midrand, South Africa",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.nepad.org/careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
30,European Commission,UN & Multilateral,"Brussels, Belgium",Europe,Yes,High,Limited / role-dependent,Possible for selected roles,https://commission.europa.eu/jobs-european-commission_en,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
31,European External Action Service,UN & Multilateral,"Brussels, Belgium",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.eeas.europa.eu/eeas/vacancies_en,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
32,OECD,UN & Multilateral,"Paris, France",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.oecd.org/careers/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
33,World Trade Organization,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.wto.org/english/thewto_e/vacan_e/vacan_e.htm,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
34,Commonwealth Secretariat,UN & Multilateral,"London, UK",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://thecommonwealth.org/jobs,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
35,Council of Europe,UN & Multilateral,"Strasbourg, France",Europe,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.coe.int/en/web/jobs,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
36,INTERPOL,UN & Multilateral,"Lyon, France",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.interpol.int/What-you-can-do/Careers,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
37,NATO,UN & Multilateral,"Brussels, Belgium",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.nato.int/cps/en/natohq/recruit-wide.htm,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
38,Organization of Islamic Cooperation,UN & Multilateral,"Jeddah, Saudi Arabia",Middle East,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.oic-oci.org/page/?p_id=171&p_ref=59&lan=en,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
39,International Federation of Red Cross and Red Crescent Societies,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.ifrc.org/jobs,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
40,International Committee of the Red Cross,UN & Multilateral,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.icrc.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
41,World Bank Group,Development Banks & Finance,"Washington, DC, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.worldbank.org/en/about/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
42,International Finance Corporation,Development Banks & Finance,"Washington, DC, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.ifc.org/en/about/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
43,Multilateral Investment Guarantee Agency,Development Banks & Finance,"Washington, DC, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.miga.org/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
44,African Development Bank,Development Banks & Finance,"Abidjan, Côte d’Ivoire",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.afdb.org/en/about-us/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
45,African Export-Import Bank,Development Banks & Finance,"Cairo, Egypt",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.afreximbank.com/careers/,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
46,Africa Finance Corporation,Development Banks & Finance,"Lagos, Nigeria",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.africafc.org/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
47,Trade and Development Bank Group,Development Banks & Finance,"Nairobi, Kenya",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.tdbgroup.org/careers/,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
48,Development Bank of Southern Africa,Development Banks & Finance,"Midrand, South Africa",Africa,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.dbsa.org/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
49,European Bank for Reconstruction and Development,Development Banks & Finance,"London, UK",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.ebrd.com/careers.html,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
50,European Investment Bank,Development Banks & Finance,Luxembourg,Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.eib.org/en/about/careers/index,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
51,Asian Development Bank,Development Banks & Finance,"Manila, Philippines",Asia,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.adb.org/work-with-us/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
52,Asian Infrastructure Investment Bank,Development Banks & Finance,"Beijing, China",Asia,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.aiib.org/en/opportunities/career/index.html,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
53,Inter-American Development Bank,Development Banks & Finance,"Washington, DC, USA",Americas,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.iadb.org/en/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
54,Islamic Development Bank,Development Banks & Finance,"Jeddah, Saudi Arabia",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.isdb.org/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
55,New Development Bank,Development Banks & Finance,"Shanghai, China",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.ndb.int/career/,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
56,International Monetary Fund,Development Banks & Finance,"Washington, DC, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.imf.org/en/About/Recruitment,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
