ID,Title,Company,Work Model,Hiring Region,Sector,Role Family,Fit,Potentially Open From Egypt,Hiring Scope / Restrictions,Freshness,Source,URL
1,Cloud Solutions Architect - Alliances,Canonical,Home-based,Worldwide,Open Source / Cloud,Solution Architecture,High,Yes,Worldwide hiring; periodic international travel,Open page checked 18 Jul 2026,Official employer,https://canonical.com/careers/5915936
2,Solution Architecture Manager,Canonical,Home-based,Worldwide,Open Source / Cloud,Architecture Leadership,High,Yes,Worldwide hiring; technical field-engineering leadership,Open page checked 18 Jul 2026,Official employer,https://canonical.com/careers/5516858
3,Solutions Architect for Automotive,Canonical,Home-based,Worldwide,Automotive / Open Source,Solution Architecture,Medium,Yes,Worldwide; automotive and embedded Linux expertise,Open page checked 18 Jul 2026,Official employer,https://canonical.com/careers/6292448
4,Information Systems - Open Source Technical Architect,Canonical,Home-based,Worldwide / Verify,Enterprise IT / Open Source,Enterprise Architecture,High,Maybe,Confirm supported hiring country during application,Open page checked 18 Jul 2026,Official employer,https://canonical.com/careers/4551832
5,Software Architect - Containers / Virtualisation,Canonical,Home-based,EMEA & Americas,Cloud Infrastructure,Software Architecture,Medium,Yes,Available in EMEA and the Americas; deep Golang/C background,Open page checked 18 Jul 2026,Official employer,https://canonical.com/careers/5881447
6,IoT Solutions Architecture Manager,Canonical,Remote,Americas / EMEA / APAC,IoT / Cloud,Architecture Leadership,High,Maybe,Search result showed Americas role; other geographies may be recruited separately,Open page checked 18 Jul 2026,Official employer,https://canonical.com/careers/6587365
7,Senior Solutions Architect,GitLab,Remote,Germany,DevSecOps,Solution Architecture,High,No,Remote within Germany,Shown on current GitLab jobs board,Official employer board,https://about.gitlab.com/jobs/all-jobs/
8,Senior Solutions Architect,GitLab,Remote,United Kingdom,DevSecOps,Solution Architecture,High,No,Remote within the United Kingdom,Shown on current GitLab jobs board,Official employer board,https://about.gitlab.com/jobs/all-jobs/
9,Solutions Architect,GitLab,Remote,Remote - Multiple Regions,DevSecOps,Solution Architecture,High,Maybe,Use GitLab location filter and confirm Egypt is supported,Current GitLab job-board listing,Official employer board,https://about.gitlab.com/jobs/all-jobs/
10,Consulting Architect - Search,Elastic,Remote,India,Search / Data Platforms,Solution Architecture,High,No,Remote role based in India,Open page checked 18 Jul 2026,Official employer,https://jobs.elastic.co/jobs/csg/india/consulting-architect-search/7447236
11,Senior Solution Architect - EMEA North,Camunda,Remote-first,EMEA North / UK,Process Orchestration,Solution Architecture,High,No,Remote-first role based in London / EMEA North,Open page checked 18 Jul 2026,Official employer ATS,https://jobs.ashbyhq.com/camunda/cfafe271-e3e9-4a00-8c0b-39ea10890d8a
12,Technical Account Manager - EMEA North,Camunda,Remote-first,EMEA North,Process Orchestration,Technical Account Management,High,Maybe,Confirm eligible EMEA hiring countries,Open page checked 18 Jul 2026,Official employer ATS,https://jobs.ashbyhq.com/camunda/155e2fbf-e2f8-45be-b086-a3373e90c599
13,Senior Solutions Architect - Europe,Deepgram,Remote,European Union,AI / Voice Technology,Solution Architecture,High,No,EU remote,Shown on current employer job board,Official employer board,https://jobs.ashbyhq.com/Deepgram?employmentType=FullTime
14,"Solutions Architect, Integrations",Sardine,Remote,UK / European Union,FinTech / Fraud Prevention,Solution Architecture,High,No,UK or listed European countries,Shown on current employer job board,Official employer board,https://jobs.ashbyhq.com/sardine
