ID,Company,Category,Headquarters,Region,Africa Presence,Fit Priority,Remote Indicator,Visa Indicator,Link Type,Career / Official URL,Suggested ICT Roles
1,Pfizer,Global Pharmaceuticals,"New York, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.pfizer.com/about/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
2,Roche,Global Pharmaceuticals,"Basel, Switzerland",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.roche.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
3,Novartis,Global Pharmaceuticals,"Basel, Switzerland",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.novartis.com/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
4,Sanofi,Global Pharmaceuticals,"Paris, France",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.sanofi.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
5,GSK,Global Pharmaceuticals,"London, UK",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.gsk.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
6,AstraZeneca,Global Pharmaceuticals,"Cambridge, UK",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.astrazeneca.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
7,Merck & Co.,Global Pharmaceuticals,"Rahway, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.merck.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
8,Johnson & Johnson Innovative Medicine,Global Pharmaceuticals,"New Brunswick, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.careers.jnj.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
9,Eli Lilly and Company,Global Pharmaceuticals,"Indianapolis, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.lilly.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
10,AbbVie,Global Pharmaceuticals,"North Chicago, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.abbvie.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
11,Bristol Myers Squibb,Global Pharmaceuticals,"Princeton, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.bms.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
12,Takeda Pharmaceutical,Global Pharmaceuticals,"Tokyo, Japan",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.takeda.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
13,Bayer Pharmaceuticals,Global Pharmaceuticals,"Leverkusen, Germany",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://career.bayer.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
14,Boehringer Ingelheim,Global Pharmaceuticals,"Ingelheim, Germany",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.boehringer-ingelheim.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
15,Novo Nordisk,Global Pharmaceuticals,"Bagsværd, Denmark",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.novonordisk.com/careers.html,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
16,Teva Pharmaceutical Industries,Global Pharmaceuticals,"Tel Aviv, Israel",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.teva/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
17,Astellas Pharma,Global Pharmaceuticals,"Tokyo, Japan",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.astellas.com/en/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
18,Otsuka Pharmaceutical,Global Pharmaceuticals,"Tokyo, Japan",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.otsuka.com/en/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
19,Daiichi Sankyo,Global Pharmaceuticals,"Tokyo, Japan",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.daiichisankyo.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
20,Eisai,Global Pharmaceuticals,"Tokyo, Japan",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.eisai.com/careers/index.html,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
21,Chugai Pharmaceutical,Global Pharmaceuticals,"Tokyo, Japan",Asia,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.chugai-pharm.co.jp/english/recruit/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
22,Sandoz,Global Pharmaceuticals,"Basel, Switzerland",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.sandoz.com/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
23,Viatris,Global Pharmaceuticals,"Canonsburg, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.viatris.com/en/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
24,Organon,Global Pharmaceuticals,"Jersey City, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.organon.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
25,CSL,Global Pharmaceuticals,"Melbourne, Australia",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.csl.com/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
26,Grifols,Global Pharmaceuticals,"Barcelona, Spain",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.grifols.com/en/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
27,UCB,Global Pharmaceuticals,"Brussels, Belgium",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.ucb.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
28,Ipsen,Global Pharmaceuticals,"Boulogne-Billancourt, France",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.ipsen.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
29,Servier,Global Pharmaceuticals,"Suresnes, France",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Official site,https://servier.com/en/join-us/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
30,Pierre Fabre,Global Pharmaceuticals,"Castres, France",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.pierre-fabre.com/en/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
