id,name,country,region,sector,url,fit,notes
1,Commercial International Bank (CIB),Egypt,Egypt,Banking,https://www.cibeg.com/en/careers,High,
2,QNB Alahli,Egypt,Egypt,Banking,https://www.qnbalahli.com/,High,
3,Banque Misr,Egypt,Egypt,Banking,https://www.banquemisr.com/en/Home/ABOUT-US/Careers,High,
4,National Bank of Egypt,Egypt,Egypt,Banking,https://www.nbe.com.eg/,High,
5,Arab African International Bank,Egypt,Egypt,Banking,https://www.aaib.com/careers,High,
6,AlexBank,Egypt,Egypt,Banking,https://www.alexbank.com/,High,
7,HSBC Egypt,Egypt,Egypt,Banking,https://www.hsbc.com/careers,High,
8,Crédit Agricole Egypt,Egypt,Egypt,Banking,https://www.ca-egypt.com/en/careers/,High,
9,FABMISR,Egypt,Egypt,Banking,https://www.fabmisr.com.eg/,High,
10,ADCB Egypt,Egypt,Egypt,Banking,https://www.adcb.com.eg/,High,
11,Emirates NBD Egypt,Egypt,Egypt,Banking,https://www.emiratesnbd.com.eg/en/careers,High,
12,Mashreq Egypt,Egypt,Egypt,Banking,https://www.mashreq.com/en/egypt/careers/,High,
13,Arab Bank Egypt,Egypt,Egypt,Banking,https://www.arabbank.com/,High,
14,Abu Dhabi Islamic Bank Egypt,Egypt,Egypt,Banking,https://www.adib.eg/,High,
15,Housing and Development Bank,Egypt,Egypt,Banking,https://www.hdb-egy.com/,High,
16,Faisal Islamic Bank of Egypt,Egypt,Egypt,Banking,https://www.faisalbank.com.eg/,High,
17,saib,Egypt,Egypt,Banking,https://www.saib.com.eg/,High,
18,Export Development Bank of Egypt,Egypt,Egypt,Banking,https://www.ebank.com.eg/,High,
19,Vodafone Egypt,Egypt,Egypt,Telecommunications,https://careers.vodafone.com/egypt/,High,
20,Orange Egypt,Egypt,Egypt,Telecommunications,https://www.orange.eg/en/about/careers/,High,
21,Telecom Egypt,Egypt,Egypt,Telecommunications,https://www.te.eg/wps/portal/te/About/Careers,High,
22,e& Egypt,Egypt,Egypt,Telecommunications,https://www.etisalat.eg/portal/pages/about/careers.html,High,
23,Raya Holding,Egypt,Egypt,Technology & Services,https://rayacorp.com/careers/,High,
24,Fawry,Egypt,Egypt,FinTech,https://www.fawry.com/careers/,High,
25,eFinance Investment Group,Egypt,Egypt,FinTech & Digital Infrastructure,https://www.efinanceinvestment.com/,High,
26,Egyptian Banks Company,Egypt,Egypt,Payments Technology,https://www.egyptianbanks.com/careers,High,
27,MNT-Halan,Egypt,Egypt,FinTech,https://mnt-halan.com/,High,
28,valU,Egypt,Egypt,FinTech,https://www.valu.com.eg/,High,
29,Paymob,Egypt,Egypt,FinTech,https://www.paymob.com/careers,High,
30,Khazna,Egypt,Egypt,FinTech,https://www.khazna.app/,High,
31,Sumerge,Egypt,Egypt,Software & Integration,https://www.sumerge.com/careers/,High,
32,ITWorx,Egypt,Egypt,Software & Digital Transformation,https://www.itworx.com/careers/,High,
33,Link Development,Egypt,Egypt,Software & Digital Transformation,https://linkdevelopment.com/careers/,High,
34,Giza Systems,Egypt,Egypt,Systems Integration,https://www.gizasystems.com/careers/,High,
35,Valeo Egypt,Egypt,Egypt,Automotive Technology,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs,High,
36,IBM Egypt,Egypt,Egypt,Technology,https://www.ibm.com/careers,High,
37,Microsoft Egypt,Egypt,Egypt,Technology,https://jobs.careers.microsoft.com/global/en/search,High,
38,Oracle Egypt,Egypt,Egypt,Enterprise Technology,https://careers.oracle.com/,High,
39,SAP Egypt,Egypt,Egypt,Enterprise Technology,https://jobs.sap.com/,High,
40,Huawei Egypt,Egypt,Egypt,Technology & Telecom,https://career.huawei.com/,High,
41,Siemens Egypt,Egypt,Egypt,Industrial Technology,https://jobs.siemens.com/,High,
42,Schneider Electric Egypt,Egypt,Egypt,Energy Management & Automation,https://www.se.com/ww/en/about-us/careers/job-search/,High,
43,Elsewedy Electric,Egypt,Egypt,Energy & Industrial,https://www.elsewedyelectric.com/en/careers/,High,
44,Orascom Construction,Egypt,Egypt,Engineering & Construction,https://www.orascom.com/careers/,High,
45,Orascom Development Egypt,Egypt,Egypt,Real Estate & Hospitality,https://www.orascomdh.com/,High,
46,Hassan Allam Holding,Egypt,Egypt,Engineering & Infrastructure,https://www.hassanallam.com/careers,High,
47,Talaat Moustafa Group,Egypt,Egypt,Real Estate,https://talaatmoustafa.com/,High,
48,Palm Hills Developments,Egypt,Egypt,Real Estate,https://www.palmhillsdevelopments.com/,High,
49,SODIC,Egypt,Egypt,Real Estate,https://www.sodic.com/,High,
50,Emaar Misr,Egypt,Egypt,Real Estate,https://careers.emaar.com/,High,
51,Mountain View,Egypt,Egypt,Real Estate,https://mountainviewegypt.com/,High,
52,Juhayna Food Industries,Egypt,Egypt,FMCG,https://www.juhayna.com/careers/,High,
53,Edita Food Industries,Egypt,Egypt,FMCG,https://www.edita.com.eg/careers/,High,
54,Domty,Egypt,Egypt,FMCG,https://www.domty.org/,High,
55,Oriental Weavers,Egypt,Egypt,Manufacturing,https://orientalweavers.com/,High,
56,GB Corp,Egypt,Egypt,Automotive & Mobility,https://www.gb-corporation.com/,High,
57,Mansour Group,Egypt,Egypt,Diversified Conglomerate,https://www.mansourgroup.com/careers/,High,
58,General Motors Egypt,Egypt,Egypt,Automotive,https://search-careers.gm.com/,High,
59,Nissan Egypt,Egypt,Egypt,Automotive,https://www.nissan-global.com/EN/COMPANY/CAREERS/,High,
60,Unilever Mashreq,Egypt,Egypt,FMCG,https://careers.unilever.com/,High,
61,Procter & Gamble Egypt,Egypt,Egypt,FMCG,https://www.pgcareers.com/,High,
62,Nestlé Egypt,Egypt,Egypt,FMCG,https://www.nestle.com/jobs,High,
63,Coca-Cola HBC Egypt,Egypt,Egypt,FMCG,https://eg.coca-colahellenic.com/en/working-with-us/working-with-us,High,
64,PepsiCo Egypt,Egypt,Egypt,FMCG,https://www.pepsicojobs.com/,High,
65,Mars Egypt,Egypt,Egypt,FMCG,https://careers.mars.com/,High,
66,Henkel Egypt,Egypt,Egypt,Consumer & Industrial,https://www.henkel.com/careers,High,
67,Lafarge Egypt,Egypt,Egypt,Building Materials,https://www.lafarge.com.eg/en/careers,High,
68,CEMEX Egypt,Egypt,Egypt,Building Materials,https://jobs.cemex.com/,High,
69,Suez Cement,Egypt,Egypt,Building Materials,https://www.heidelbergmaterials.com/en/career,High,
70,Arabian Cement Company,Egypt,Egypt,Building Materials,https://www.arabiancement.com/,High,
71,EVA Pharma,Egypt,Egypt,Pharmaceuticals,https://www.evapharma.com/,High,
72,Pharco Corporation,Egypt,Egypt,Pharmaceuticals,https://pharco.org/careers.aspx,High,
73,EIPICO,Egypt,Egypt,Pharmaceuticals,https://www.eipico.com.eg/,High,
74,Rameda,Egypt,Egypt,Pharmaceuticals,https://ramedapharma.com/,High,
75,Minapharm Pharmaceuticals,Egypt,Egypt,Pharmaceuticals,https://www.minapharm.com/,High,
76,Cleopatra Hospitals Group,Egypt,Egypt,Healthcare,https://www.cleopatrahospitals.com/,High,
77,Alameda Healthcare,Egypt,Egypt,Healthcare,https://alameda-hc.com/,High,
78,Vezeeta,Egypt,Egypt,Digital Health,https://www.vezeeta.com/en/careers,High,
79,Aramex Egypt,Egypt,Egypt,Logistics,https://careers.aramex.com/,High,
80,DHL Express Egypt,Egypt,Egypt,Logistics,https://careers.dhl.com/,High,
81,Saudi Aramco,Saudi Arabia,GCC,Energy,https://www.aramco.com/en/careers,High,
82,SABIC,Saudi Arabia,GCC,Chemicals & Industrial,https://www.sabic.com/en/careers,High,
83,stc,Saudi Arabia,GCC,Telecommunications,https://www.stc.com.sa/content/stc/sa/en/about/careers.html,High,
84,Mobily,Saudi Arabia,GCC,Telecommunications,https://careers.mobily.com.sa/,High,
85,Zain KSA,Saudi Arabia,GCC,Telecommunications,https://careers.sa.zain.com/,High,
86,Al Rajhi Bank,Saudi Arabia,GCC,Banking,https://careers.alrajhibank.com.sa/,High,
87,Saudi National Bank,Saudi Arabia,GCC,Banking,https://careers.alahli.com/,High,
88,Riyad Bank,Saudi Arabia,GCC,Banking,https://careers.riyadbank.com/,High,
89,Saudi Awwal Bank,Saudi Arabia,GCC,Banking,https://www.sab.com/en/careers/,High,
90,Alinma Bank,Saudi Arabia,GCC,Banking,https://careers.alinma.com/,High,
91,Bank Albilad,Saudi Arabia,GCC,Banking,https://careers.bankalbilad.com/,High,
92,Saudi Investment Bank,Saudi Arabia,GCC,Banking,https://www.saib.com.sa/en/careers,High,
93,NEOM,Saudi Arabia,GCC,Mega Projects & Technology,https://careers.neom.com/,High,
94,Red Sea Global,Saudi Arabia,GCC,Tourism & Development,https://www.redseaglobal.com/en/careers,High,
95,Qiddiya,Saudi Arabia,GCC,Entertainment & Development,https://qiddiya.com/careers/,High,
96,Diriyah Company,Saudi Arabia,GCC,Development & Tourism,https://www.diriyah.sa/careers,High,
97,ROSHN Group,Saudi Arabia,GCC,Real Estate,https://www.roshn.sa/careers,High,
98,Saudia,Saudi Arabia,GCC,Aviation,https://careers.saudia.com/,High,
99,flynas,Saudi Arabia,GCC,Aviation,https://career.flynas.com/,High,
100,Riyadh Air,Saudi Arabia,GCC,Aviation,https://www.riyadhair.com/en/careers,High,
101,Saudia Technic,Saudi Arabia,GCC,Aviation Engineering,https://careers.saudiatechnic.com/,High,
